Turkish,English
çığlık,scream
görmedin,you did not see
çıktın,you came out
demeye,to say
ormanda,in the forest
kilitli,locked
değildin,you were not
ölmeden,without death
toz,dust
senatör,senator
kanun,law
hâlde,in the same way
kaçak,leakage
kızımı,my daughter
han,inn
hitler,Hitler
aldınız,you bought
korkutucu,scary
abd,USA
aksine,on the contrary
sally,sally
alay,regiment
günleri,days
oliver,Oliver
leydi,lady
kamp,camp
oluşan,formed
kalabilir,may remain
ederdim,I would
döndün,you turned
johnson,Johnson
başardın,you succeeded
balığı,fish
bina,building
aylık,monthly
uçağı,the plane
uyu,Sleep
şanslısın,you are lucky
karşıya,across
bruce,bruce
alıyoruz,we buy
İster,Whether...or
göt,ass
yaparak,by doing
dinliyorum,I am listening
güvenliği,safety
etmesini,to do
kira,rent
acımasız,unmerciful
yaklaşıyor,approaching
olurdum,I would be
bahsediyoruz,we are talking
kumar,gambling
hile,cheat
tabiki,of course
hastalığı,illness
metal,Metal
güveniyorum,I trust
katie,Katie
fotoğrafı,photo
felaket,disaster
kızını,Your daughter
öldürme,kill
gittik,We went
yetecek,sufficient
korktum,I scared
yorgunum,I am tired
daire,circle
noktası,point
kalmayacak,there will be no more
savaşta,in the war
etrafa,around
lu,lu
catherine,Catherine
hukuk,law
yaşadığını,that you live
duygu,emotion
pembe,pink
city,City
deri,skin
ölüme,to death
duvara,to Wall
kazanan,winning
sağlayacak,to provide
dr,DR
ların,s
seve,gladly
mezun,graduate
ayrıldı,Left
üzerime,on me
başlıyorum,I'm starting
olana,to what is
istememiştim,I didn't want
mermi,bullet
olmalıydı,must have
kocan,stub
olacaksınız,you will be
barda,at the bar
verilen,given
gününde,on the day
parker,parking
saattir,for the clock
moda,fashion
bildiğimiz,what we know
yarış,race
dışarıya,out
rebecca,Rebecca
vermez,uninterrupted
duruyorsun,you are standing
linda,Linda
kimliğini,its identity
ihtiyar,old
önemsiz,insignificant
bitir,finish it
başlayacak,will begin
buluruz,we find
deniyor,is called
halka,ring
yaşadım,I lived
kalanını,the rest
durdurmak,stop
giderse,if it goes
ziyarete,visit
biçimde,in the way
mevcut,available
etmişti,he had
gösteren,showing
etrafı,around
düşünce,idea
duran,standing
satış,sales
bakabilir,can look
kalıyorum,I stay
bitmiş,finished
yapmadın,you didn't do it
girdin,you entered
parçaları,pieces
homer,Homer
gelmedim,I didn't come
silahlar,weaponry
yılında,in the year
gemiye,on board
çıkarma,extraction
erdi,tedded
geçmişi,past
geçin,go on
todd,todd
wilson,Wilson
bırakayım,let me leave
ambulans,ambulance
sevmem,I do not like
davranış,behaviour
anlatacağım,I will tell
arasına,between
çekin,pull
sistem,system
davranıyor,Acting
başladık,we started
carrie,Carrie
kenny,Kenny
öldürmüş,killed
arkanı,your back
yedek,spare
gitmesi,to go
jordan,jordan
k,k
gemiyi,the ship
sıfır,none 
götürecek,to take
uzman,expert
harvey,Harvey
sordun,you asked
ayın,ritual
isterse,if you want
bırakır,leaves
kalacağız,we will stay
etmekten,from
sür,driving
çalışır,works
memnunum,I am pleased
hikayesi,story
savaşın,your war
askerler,soldiers
kaybı,loss
sözünü,your word
yakalayın,Capture
içmeye,to drink
kek,cake
ellerinde,in your hands
edilen,in
peynir,cheese
ailesinin,Your family
hissettiğini,that you feel
üvey,step
adamdan,from the man
perşembe,thursday
hal,status
yerler,places
yedim,I ate
hoşlanıyor,likes
olacaklar,they will be
teklifi,proposal
gazete,newspaper
tarif,specification
vermeyi,giving
mahkemede,in court
adamdı,He was a man
tekisin,you are one
dolara,to the dollar
miami,miami
japonya,Japan
dediler,they said
şampanya,champagne
bildiği,he knows
dile,language
güzelim,my beauty
carlos,Carlos
yağ,oil
söylersin,you say
herifin,your guy
ihtimal,possibility 
ödülü,prize
dişi,female
miktarda,quantity
aa,AA
söyleyebilirsin,you can say
düzenli,regular
geceki,tonight
elena,Elena
brad,Brad
haftadır,for a week
kardeşimi,my brother
ederler,they are
numarayı,number
güzellik,beauty
yanıyor,on fire
İtiraf,Admission
insanlardan,from people
uçağa,plane
boşuna,in vain
jamie,Jamie
bayılırım,i love
müsün,are you
carol,Carol
şapka,cap
gidebiliriz,we can go
çalıştığı,Working
babanla,with your father
neyden,from what
çocukla,with the child
ayrılmak,To leave
soruyu,question
günüm,my day
cennet,Paradise
jo,jo
yaratık,creature
cevabı,reply
söylemen,you say
resmini,your picture
kanlı,bloody
yüzük,ring
eller,hands
uyar,warn
açtı,opened
jay,jay
kayıtları,records
meydana,square
gelsene,come on
direk,direct
başlamadan,without starting
jüri,jury
duvar,wall
âşık,in love
söyleyip,and saying
ailemi,my family
kaybetmiş,lost
vermelisin,you should give
noktada,at the point
gelmesi,arrival
kış,winter
anında,instantly
uzaktan,afar
hollywood,Hollywood
hoşgeldin,Welcome
söylemesi,to say
temas,contact
görmem,I don't see
pilot,pilot
hanımlar,ladies
rengi,color
kafamı,my head
gerekti,needed
elime,in my hand
ã,ã
sophie,Sophie
milyar,billion
çeker,pull -out
geminin,ship
frankie,Frankie
edward,Edward
çıkmaz,impasse
denize,sea
alet,tool
gus,gus
kazandın,you won
yaptığına,what you did
olmalılar,they must be
uyum,rapport
hop,hop
yerime,in my place
haksız,unfair
değeri,value
insana,to human
noktaya,to point
bulmamız,we find
değişir,changes
otelde,in hotel
herneyse,anyway
üniversiteye,university
yapsın,let it do
çıkmadı,did not come out
sorumluluk,responsibility
cole,cole
vergi,tax
diz,knee
ihtimali,possibility of
böcek,bug
saray,palace
geldiğimde,When I arrived
kötüye,abuse
halen,currently
oradaydı,It was there
amin,amine
ölümüne,to death
istediğimiz,what we want
kanser,cancer
yılı,year
etmeni,the factor
gibbs,Gibbs
etkili,effective
anlar,moments
birbirlerine,to each other
yönetim,Administration
kapatın,close
yandan,on the other hand
sabırsızlanıyorum,I can't wait
versene,give me
roman,novel
betty,Betty
alabilirim,I can get it
numarasını,number
yapmadan,without doing
yatıyor,lies
İtalyan,Italian
nedeniyle,because of
doktorlar,doctors
getiriyor,brings
değişik,strange
operasyon,operation
kore,Korea
bulalım,let's find
düşünmüyor,does not think
müdürü,manager
cinayeti,murder
hikayeyi,the story
bittiğinde,When finished
shawn,Shawn
bölgede,in the region
lik,ness
önde,ahead
istemiyoruz,we don't want
küçükken,when I was little
vali,governor
başının,your head
yapıldı,done
katilin,your killer
ikisini,two of them
anlam,meaning
sabaha,to morning
koymak,put
deneyelim,Let's try
hain,traitor
ian,ian
karımı,my wife
söyleyeceksin,you will say
durumun,your situation
marty,marty
lise,high school
sıkıntı,trouble
almıştım,I bought it
jessica,Jessica
vereceğiz,we will give
beth,beth
esas,basis
casey,Casey
umuyordum,I was hoping
çıkıyoruz,we go out
anlamsız,meaningless
etmeyeceğim,I will not
teşhis,diagnosis
ethan,Ethan
soruyorsun,you ask
başımdan,from my head
gay,gay
haberdar,informed
feda,sacrifice
artı,plus
yaşıyoruz,we are living
burnunu,your nose
hatan,error
kasabada,in the town
girebilir,can enter
doktoru,doctor
wayne,Wayne
bilerek,on purpose
öteki,other
güvenilir,Trustworthy
eğlenceler,fun
çanta,bag
bilgileri,information
hapishane,prison
popüler,popular
önemlisi,importantly
bugüne,to the present
anlatmaya,to explain
yapamayız,we can't do
jess,jess
ani,moment
sınır,boundary
ağzından,from your mouth
karıştı,mixed
zordur,is difficult
nina,nina
çalmak,to play
gelmeyecek,will not come
tuttu,hired
sun,Sun
tutan,holding
borçluyum,I owe it
almadan,without taking
ötürü,due to
zahmet,bother
tavşan,rabbit
kalmaya,to stay
buradaydı,It was here
nişan,engagement
zoe,zoe
telafi,compensation
tutar,amount
delil,proof
geçelim,Let's pass
çağrı,call
yüzüğü,ring
kemik,bone
kokusunu,smell
giy,wear
brown,brown
kurtardın,you saved
taşı,Move
noeller,Christmas
arkaya,back
görürsün,you see
söylemiyorum,I'm not saying
iste,at work
benzemiyor,does not look like
korusun,Protect
king,king
ederse,if he
dakikaya,per minute
tutmaya,to hold
uluslararası,international
vermeden,without giving
oscar,Oscar
boy,size
gerçekleri,Facts
gençler,youth
darbe,coup  
nesin,nesin
kader,destiny
niyetim,My intention
üstün,superior
önem,importance
kurmak,to create
sanmam,I do not think so
ağlama,cry
tekne,boat
sapık,pervert
me,me
görecek,will see
arabasını,his car
devre,circuit
ron,ron
yiyelim,let's eat
bekleyeceğim,I will wait
kardeşimin,my sibling's
cadılar,witches
dosya,file
kimler,who
ulan,ulan
olmayacağım,I will not
duymadın,you did not hear
gereksiz,unnecessary
bulunduğu,found
izledim,I watched
kımıldama,movement
zamanla,in time
kadarını,as far as
olacağına,that
oğlunun,Your son
lerin,s
olivia,Olivia
mola,break
boston,Boston
yük,load
liz,liz
şerefsiz,dishonest
ateşe,on fire
listesi,list
merkezinde,in the center
şirketin,company
randy,Randy
vurmak,hit
türden,kind of
miller,miles
bulmam,I don't find
alçak,low
naber,What's up
misafir,guest
uslu,well-behaved
bıçağı,knife
bugünlerde,these days
gittiği,he went
uyarı,warning
örümcek,spider
merhamet,mercy
icin,for
telefona,on the phone
kurtarma,recovery
rusya,Russia
büyükbaba,grandfather
robot,robot
gitmiyorsun,you don't go
İşleri,Work
kimmiş,who was
zehir,poison
baya,quite
kaldırın,Remove
kamyon,truck
değiştirdi,changed
panik,panic
jin,Jin
servisi,service
otuz,thirty
angel,Angel
geçiriyor,passing
anlatayım,let me tell
bekledim,I waited
ellen,Ellen
birilerinin,Someone's
şükran,gratitude
marshall,Marshall
yanılıyorsun,You're wrong
aranızda,among you
müdahale,intervention
hırsızlık,theft
yapardı,he would do
reklam,advert
huh,huh
istemezdim,I wouldn't want
davası,case
sarışın,blonde
sesle,with voice
yapabileceğini,that you can do
koru,protect
bulamıyorum,I can not find
çaresine,remedy
bilgiler,informations
kraliyet,royal
yazan,writer
adlı,judicial
söylemeyeceğim,I will not say
ilham,inspiration
meşgulüm,I'm busy
gezegen,planet
yaşadığı,lived
hali,state
anasını,his mother
temizlik,cleaning
alırız,we get
başlamış,started
buldular,they found
etmemiz,we
yatırım,investment
mıdır,is it
okulun,Your school
audrey,Audrey
planım,my plan
oğlumun,my son
bahsettiğini,that you mentioned
örneğin,e.g
dilemek,wish
çete,gang
açıp,open and open
sakinleş,calm down
karı,wife
öncesi,pre-
derdim,I would
is,business
joseph,Joseph
kol,arm
anahtarları,keys
gürültü,noisy
sue,sue
teddy,teddy
kaçmaya,to escape
ho,holy
cihazı,device
söylediğimi,what I said
gibiler,people like
ok,arrow
şeylerle,with things
bitecek,will end
odayı,the room
dennis,Dennis
hı,what
boya,paint
görünüyorum,I look
lı,lucinous
söylerdi,He would say
ot,weed
sebebini,cause
gitmeni,you go
veri,data
öte,beyond
arkadan,behind
isteyeceğim,I will want
üstüme,on me
direkt,direct
görüş,opinion
ahmak,idiot
çeken,attractive
bakacak,will look
yanındaki,next
etmenin,do not
vaktin,your time
gideceğini,that you will go
gordon,gordon
yalvarıyorum,I beg
davis,Davis
öylesin,so
yoruldum,I am tired
etmiyorsun,you don't
gelmiştim,I came
kıyafet,clothes
üstünü,top
sorma,dont ask
konuşmalıyız,we should talk
yapabileceğimiz,we can do
zorlu,tough
ilişkisi,relationship
kurtar,save
etki,effect
bağlantısı,connection
önden,from the front
arkasından,behind
cok,a lot
istersiniz,you want
kafalı,-headed
haklısınız,you are right
anlattım,I told
çocuğunu,your child
koydu,he put
sabahın,in the morning
midir,is it
öldürmedim,I didn't kill
vermişti,gave it
oysa,whereas
yarına,for tomorrow
olmana,to what
yüzümden,from my face
bahsediyor,Talking about
çıktığını,that
amaç,aim
uzaylı,alien
özlüyorum,I am missing
soygun,robbery
lou,lou
aldığın,you buy
zekice,cleverly
başımıza,to us
kod,code
yerleri,locations
steven,Steven
giderek,increasingly
İnsanlara,To people
okumak,to read
yapacaksınız,you will do
hız,speed
dar,narrow
benziyorsun,you look like
istemiyorsan,if you do not want
sınıfta,in the class
alındı,receipt
çabucak,quickly
lafı,word
dana,calf
kolunu,his arm
durdurun,Stop
sağlıyor,provides
altındaki,under
cüret,daring
izliyor,is watching
bilgiyi,information
hannah,Hannah
üstünden,over
puan,point
terörist,terrorist
sanıyorsunuz,you think
beşinci,fifth
davran,act
yolla,send
vermiştim,I gave
anladığım,I understand
icabına,for the requirement
çıkarsa,if it comes out
aklında,in mind
michelle,Michelle
nadir,rare
kaçmış,escaped
meşhur,famous
düşüyor,falling
yapamıyorum,I can not
ortalıkta,around
yıllarca,for years
dediğine,what you say
seç,select
kanka,dude
yaramıyor,does not work
nancy,nancy
geliyordu,was coming
devamlı,continuous
yetmez,not enough
sahneye,to the stage
ölüyorum,I'm dying
İşini,Your job
kalanı,the rest
gelişme,development
sizlere,to you
ibaret,consistently
mösyö,monsieur
kaçırdım,I missed it
kapıları,gates
edilemez,inevitable
çıkarmaya,to remove
toplantısı,meeting
jeremy,Jeremy
delirdin,You were crazy
alana,to the field
gemide,on board
yanıt,response
duymuş,heard
sivil,civilian
İncil,Bible
tuzağa,to the trap
zorundaydım,I had to
istemediğini,you don't want
boyun,neck
başlayın,Start
hapis,prison
doldu,filled
oyunun,your game
sınırı,limit
dil,language
etmedin,you didn't
ülkede,in the country
merkezine,to the center
öp,kiss
simdi,now
hakkın,your right
işime,for my work
dağ,mountain
almadım,I did not take
bitiyor,ends
uyanık,awake
buluşma,meeting
şuan,now
buysa,if that's
yaşına,to age
getirecek,will bring
içecek,drink
geçtim,I passed
konuşan,speaking
amma,pure
ailemin,my family
bitirmek,finish
sesleri,sounds
eşit,same
ordusu,army
endişeleniyorum,i worry
çektim,I pulled
arabam,My car
oturma,sitting
düşünüyorlar,they think
evlenme,marriage
karanlıkta,in the dark
olurlar,they are
yazılı,written
bağ,bond
kalbimi,my heart
herifler,guys
yasa,live
sürüyor,progress
ödemek,pay
caroline,Caroline
masaya,on the table
geçirmiş,spent
korkmuyorum,I'm not afraid
av,hunting
sayfa,page
binanın,building
bittiğini,that it is over
yapmaktan,from doing
yapılması,to be done
ömür,lifetime
sinirli,annoyed
duyabiliyor,can hear
maruz,exposed
başardım,I succeeded
kum,Annual
hakkını,right
şov,show
maya,Maya
babasını,his father
birisiyle,with someone
hepinizin,all of you
keith,keith
yetenek,talent
walker,Walker
gözlerin,Your eyes
raymond,raymond
ağrıyor,it hurts
köle,slave
evvel,before
ruhunu,your soul
delikanlı,lad
kanada,Canada
keser,cut
halkın,People's
benimkini,mine
yakaladık,we caught
gördüğü,what he sees
bildin,you knew
dolusu,full of
porno,porn
başkalarının,others
İsmi,Name
birlik,unity
zamanını,your time
jennifer,Jennifer
kadınlara,To women
ulaşmak,to reach
yemiş,eaten
gidemezsin,You can't go
hepinize,to all of you
saçlı,haired
satmak,to sell
işiniz,Your job
öldürüyor,killing
yazmış,written
olabildiğince,as much as possible
İşim,Name
aklımdan,from my mind
aklı,mentally
ailesini,family
hakkım,my right
uçan,flying
sevmiyor,does not like
anlamıyla,literally
aaron,Aaron
ton,ton
içimde,inside me
pencereden,through the window
eti,flesh
petrol,oil
töreni,ceremony
matthew,matthew
olayını,event
kent,city
politik,political
yaparlar,they do
kendilerine,themselves
lider,leader
tanıştığıma,I met
şekli,shape
sağladı,provided
başkasının,someone else
martha,martha
muydunuz,Were you
konuştu,spoke
gönderdim,I posted
hatırlamıyor,does not remember
sesli,loud
vermedim,I didn't give
ooh,ooh
döndüğünü,that he returned
plastik,plastic
ikimizin,two of us
bırakacağım,I will quit
yöne,in the direction
savaşçı,fighter
çekiyorum,I'm pulling
gitsem,If I go
başarı,success
konuya,to the subject
kurallar,rules
tina,tina
işlerin,Your work
karısını,his wife
kiliseye,to the church
memuru,officer
ä,ä
oynamaya,playing
birbirlerini,each other
üzülme,Do not be sad
odama,my room
sessizce,quietly
İtalya,Italy
sevgilisi,lover
yavrum,my baby
hediyesi,gift
doğruca,straight
herhâlde,I suppose
mecbur,forced
teknoloji,technology
vurdum,I hit
verdiniz,you gave it
hocam,my teacher
barbara,barbara
kokain,cocaine
alması,receiving
şahane,wonderful
düşünür,thinker
victoria,Victoria
aday,candidate
miydiniz,Were you
otele,Hotel
arkadaşımın,my friend's
sesler,sounds
malcolm,Malcolm
adres,address
istemiş,wanted
bulabilirim,I can find
çıkarken,on the way out
mickey,mickey
aktif,active
bilimsel,scientific
tarafına,on the side of
yaşındasın,you are old
hepinizi,all of you
dick,dick
abla,older sister
lideri,leader
müsait,free
ederdi,would have
mutfakta,in the kitchen
televizyonda,on TV
İstediğim,What I want
bekleme,wait
gönderin,send
francis,Francis
durumunu,status
oksijen,oxygen
dinliyor,listening
şüphesiz,no doubt
eşyaları,items
avukatı,lawyer
garson,waiter
öğren,learn
eva,eva
işbirliği,cooperation
veriyoruz,we give
bildiğiniz,you know
kızının,your daughter
sakla,hide
minnettar,grateful
sonradan,later
gitmesini,to go
ann,Ann
haberlerim,my news
muazzam,enormous
yemekten,from meal
sayıda,numerical
sürmez,unmistakable
zehirli,toxic
hatırla,Remember
aradın,You called
hatası,error
kasabaya,to town
florida,Florida
halkı,people
çalışıyorsunuz,you work
logan,logan
ada,island
sesin,Your voice
bulana,to the one who finds
elma,apple
kızımın,my daughter
şeyini,your thing
köprü,bridge
allison,allison
vuruldu,was shot
verirseniz,if you give
gözle,eye -catching
renkli,colourful
sorunlar,problems
çalışması,work
yarayacak,will be useful
istediler,they wanted
yapıyordun,you were doing
fotoğrafını,photo
hoşlanmıyorum,I do not like
olayları,events
söylüyorsunuz,you say
sırrı,secret
çıkardım,I took it out
pazarlık,bargain
sağlar,provides
dı,it was
sıraya,in line
yapmıyor,does not do
öldüğünde,When he dies
anlaşmayı,agreement
albert,Albert
aralar,intervals
öfke,anger
kalem,pencil
evinin,Your house
riley,Riley
ağrı,pain
gitmişti,he was gone
ikiye,in two
borçlu,debtor
yardımın,Your help
dylan,Dylan
annesini,his mother
kang,kang
kaçıyor,escaping
İstemiyorum,I don't want
yasadışı,illegal
girmeye,to enter
vurdun,you hit
yapmasını,to do
malı,financial
matematik,maths
cehennemde,in hell
nasılsa,somehow
terfi,promotion
ötesinde,beyond
herifi,halifi
hissettiriyor,makes you feel
yavru,baby
çocuklarım,my children
yanından,by the side of
hazırla,prepare
sağlayan,providing
avcı,Hunter
fakir,poor
zar,dice
söylememi,not to say
holly,Holly
edersiniz,you will
bart,Bart
yürüyüşe,walking
kimliği,identity
tanıklık,testimony
düşünsene,imagine
fikrimi,my idea
seviyoruz,we love
bekliyorlar,they are waiting
orman,Forest
döndüğünde,When you return
neil,neil
imza,signature
çarşamba,wednesday
hesabı,account
sözler,words
süren,exhausting
wendy,Wendy
kanıtı,evidence
monica,monica
rüşvet,bribe
duman,smoke
söylediklerini,what you say
yüze,to the face
düşündü,thought
virüs,virus
soruyor,asks
dertte,in trouble
olumlu,positive
arkadaşımı,my friend
diane,Diane
aykırı,against
kalmasını,to stay
devasa,colossal
harold,Harold
köpekler,dogs
şahsen,personally
gül,rose
edebilecek,it can be
kalmayı,to stay
papa,pope
penny,penny
kutlu,blessed
arkadaşız,WE ARE FRIENDS
bitince,when finished
derse,class
altını,gold
telefonun,Your phone
olmanız,you have
kalması,to remain
kalırsa,if it remains
elli,fifty
connor,Connor
kaplan,Tiger
hayran,fan
şeklinde,shaped
kararını,decision
yemeye,to eat
yazmak,to write
mutsuz,unhappy
kullanma,use
gözler,eyes
bozucu,disruptive
dinleme,listening
dönüyorum,I'm going back
saçını,your hair
jean,Jean
spencer,Spencer
açar,opens
dönem,period
jonathan,Jonathan
görünmez,invisible
olmasının,to be
sikeyim,I'll fuck
görgü,manners
sammy,sammy
harikasın,You are great
kitty,Kitty
söylediniz,you said
koruyucu,protector
pat,scatter
ek,additional
bakanlığı,ministry
dansı,dance
christine,Christine
istiyorsa,if he wants
mutfak,kitchen
kullanmayı,to use
atıp,throwing away
cesedini,his body
dizi,soap opera
versin,give me
barney,barney
bunlarla,with them
seçeneğim,My option
dostlarım,my friends
eylül,September
çoğunlukla,mostly
örneği,example
olabilirsiniz,You can be
elindeki,in your hand
gelemem,I can not come
tanırım,I know
ofisi,office
emniyet,safety
bensiz,without me
işareti,sign
lewis,lewis
ortalığı,attempt
başkaları,others
booth,booth
bahane,excuse
kullandığı,used
büyüleyici,fascinating
işinde,at work
duruyordu,it was standing
adet,piece
babacığım,daddy
giren,entering
bölgesi,region
öz,self
yaşındayım,I am old
tanımıyorsun,you don't know
rolü,role
şiddetli,severe
kendimden,from myself
dönmem,I don't return
bo,Bo
gözlerimi,my eyes
görevim,my duty
çoğunu,most
margaret,margaret
şansını,your chance
russell,Russell
gidiyorlar,they are going
önünden,in front of
öldükten,after death
gidemem,I can not go
ekstra,extra
silahın,Your weapon
işle,work
severdi,He used to love
kurabiye,cookie
phoebe,phoebe
duruyorum,I'm standing
diyeceksin,you will say
uydu,satellite
çalıştın,you worked
olursak,if you
travis,travis
konuşurum,I talk
kutlama,celebration
jacob,jacob
aptallık,stupidity
earl,Earl
ölümünden,from death
konuşuyoruz,we are talking
düşündük,we thought
almaz,uninterrupted
that,That
ağacı,tree
çıkacağım,I will go out
yapmana,to do
çalar,player
caddesi,Street
çamaşır,linen
arkadaşına,to your friend
toby,TOBY
bilmez,unknown
çıkarıp,take off
bulabiliriz,we can find
taciz,abuse
bulduğumuz,we found
tahta,wood
çaba,effort
vermedin,you did not give
anlıyorsun,you understand
young,Young
bedelini,price
genetik,genetic
hakaret,insult
önemlidir,important
çekmeye,to pull
aynısı,the same
yem,bait
etmeyecek,will not
göreve,to duty
götürür,it takes
filmin,Your movie
olmadım,I was not
gabriel,Gabriel
attın,you threw
sözleri,words
değiştirdim,I change it
gözlerim,my eyes
do,do
dediniz,you said
kurulu,installed
salonu,hall
imkânsız,impossible
vermiyorsun,you don't give
başlama,start
üniversitesi,university
kaybolmuş,lost
doktorun,Your doctor
stephen,Stephen
düşen,falling
başladılar,they started
kahverengi,Brown
konuşmalıyım,I have to talk
randevum,my appointment
teker,wheel
idam,execution
bakım,care
şeyde,in what
yapmıştım,I have done
durmadan,non-stop
fotoğrafları,photos
çiçekler,flowers
mason,mason
belirsiz,uncertain   
bitirdim,I finished
şefi,chief
koltuk,seat
olmayacağını,that
getiririm,I bring it
elleri,hands
okuma,read
sıkıldım,I am bored
düzen,order
nehir,river
rory,rory
berlin,Berlin
gelirken,on the way
yakaladı,caught
gösterin,show
beden,Body size
verirsin,you give
kilit,lock
bağla,connect
bahar,spring
owen,Owen
görevlisi,officer
gördüğümü,what I see
masanın,your table
paylaşmak,to share
takdirde,in case
aradığını,what you are looking for
ofis,office
yiyor,eating
gücün,your power
şiir,poetry
aklımı,my mind
veriyorlar,they are giving
zekalı,witted
miles,Miles
beklemiyordum,I did not expect
böylesine,such
babanız,your father
kutusu,box
deneyeceğim,I will try
arıyorlar,they are looking for
internet,Internet
diyeyim,let me say
bakarak,looking at
dükkanı,shop
sağır,deaf
ken,city
demin,just now
sokağa,to the street
kullandım,I used it
ihbar,notice
arkadaşlarını,your friends
kafan,your head
house,House
erkenden,early
altyazı,subtitle
nasil,how
haklıydı,was right
öldürün,Kill
aramızdaki,between us
benle,with me
kaçış,escape
jen,Jen
diyordum,I was saying
düzelecek,It will be fine
tanesini,grain
kalbin,Your heart
dakikalığına,for minutes
bulacak,will find
duyduk,we heard
pas,rust
leonard,Leonard
eninde,width
ettiğiniz,you are
karşınızda,here
sayede,thanks to
elliot,Elliot
lazımdı,needed
çatlak,crack
oldunuz,you became
uzmanı,professional
düzine,dozen
olumsuz,negative
olmasından,from being
atmaya,to throw
toplum,society
kaldığını,that you stay
anlarım,I understand
iyiyiz,we are good
otomatik,automatic
kimyasal,chemical
düşünmedim,I didn't think
konuşur,speaks
kaçıp,escaping
shane,shane
fıstık,peanut
california,California
biçim,format
birisine,to someone
tadına,to taste
başardı,SUCCESSFUL
gittiğinde,when you go
anlamını,its meaning
kaya,rock
keyfini,enjoyment
anlatacak,will tell
lâzım,required
yolumdan,from my way
bense,me
haksızlık,injustice
inkar,denial
tracy,tracy
gösterecek,will show
çocuklarını,their children
söylüyordu,he was saying
seth,seth
bencil,selfish
iyiliği,goodness
dostlar,friends
özleyeceğim,I will miss
mars,anthem
oturmak,to sit
uyumak,to sleep
oturan,sitting
olmamalı,should not be
edilecek,to be
sırt,back
kuvvetli,powerful
stanley,Stanley
gelecekte,in the future
şehirdeki,in the city
düştüm,I fell
okudun,you read
dawson,DAWSON
adamımız,Our man
bİr,a
ölümden,from death
vermen,vermen
kapandı,closed
defalarca,repeatedly
şahit,witness
durumunda,in the case of
jules,Jules
aah,Aah
yapabilecek,can do
baktı,he looked
diğerlerini,others
hong,hong
başkasına,to someone else
oldugunu,that
koyu,dark
hapisten,from imprisonment
å,å
r,r
açıldı,opened
yapımı,construction
allahım,God
benzeyen,similar
evrenin,The universe
kıçına,to your ass
çıkacağız,we will go out
eşek,donkey
devletler,states
aklımda,On my mind
bulunuyor,is located
elle,by hand
ortağı,partner
bire,I'd like to send a message by e-mail
üzereyim,I'm about to
megan,megan
İspanya,Spain
yolladı,sent
azıcık,little
yorum,comment
white,white
bulabilir,can find
savcı,prosecutor
diyebilirsin,You can say
çıktığında,when it comes out
espri,humor
taşıyor,carrying
şartlı,conditional
tartışma,argument
izlemeye,to watch
bilmiyordu,He didn't know
bulursun,you find
walt,Walt
dünyadan,from the world
dayak,beating
liste,list
kötülük,evil
hayali,imaginary
çantayı,the bag
sabırlı,patient
yapabileceğin,you can do
sin,Sin
buluşalım,let's meet
kesip,cutting
sayısı,number
gözüm,My eye
dikkate,in mind
siktiğimin,I fucked
İyice,Thoroughly
jenna,Jenna
jung,jung
alamıyorum,I can't get it
başkasını,someone else
evinden,from home
söylersen,If you say
döndüğümde,When I return
kullandı,used
kızarmış,fried
öldürülmüş,murdered
masada,on the table
kızlara,To girls
sizsiniz,you are
